gtin14,jan3,jan4,jan13
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
38000000000000,803,8030,8030000000000
